source,target
Benjamin Cardin,Doris Matsui
Benjamin Cardin,Michelle Lujan Grisham
Benjamin Cardin,David Price
Benjamin Cardin,Charles Grassley
Benjamin Cardin,Lindsey Graham
Benjamin Cardin,Jeff Flake
Benjamin Cardin,Claire McCaskill
Benjamin Cardin,James Inhofe
Benjamin Cardin,Richard Shelby
Benjamin Cardin,Roy Blunt
Benjamin Cardin,Lamar Alexander
Benjamin Cardin,Shelley Capito
Benjamin Cardin,Patrick Toomey
Benjamin Cardin,Joaquin Castro
Benjamin Cardin,Ron Johnson
Benjamin Cardin,Todd Young
Benjamin Cardin,Orrin Hatch
Benjamin Cardin,Roger Wicker
Benjamin Cardin,John Thune
Benjamin Cardin,Mitch McConnell
Benjamin Cardin,John Hoeven
Benjamin Cardin,Tom Cotton
Benjamin Cardin,Ted Cruz
Benjamin Cardin,James Risch
Benjamin Cardin,Dan Sullivan
Benjamin Cardin,Benjamin Sasse
Benjamin Cardin,A. McEachin
Benjamin Cardin,Lee Zeldin
Benjamin Cardin,John Lewis
Benjamin Cardin,Eddie Johnson
Benjamin Cardin,Donald Payne
Benjamin Cardin,Colleen Hanabusa
Benjamin Cardin,Eric Swalwell
Benjamin Cardin,John Garamendi
Benjamin Cardin,James Clyburn
Benjamin Cardin,Jackie Speier
Benjamin Cardin,Mike Rounds
Benjamin Cardin,James Lankford
Benjamin Cardin,John Kennedy
Benjamin Cardin,Alma Adams
Benjamin Cardin,Deb Fischer
Benjamin Cardin,Michael Enzi
Benjamin Cardin,John Cornyn
Benjamin Cardin,Chris Coons
Benjamin Cardin,Michael Crapo
Benjamin Cardin,Tim Scott
Benjamin Cardin,Kyrsten Sinema
Benjamin Cardin,Elizabeth Warren
Benjamin Cardin,Mike Lee
Benjamin Cardin,Dean Heller
Benjamin Cardin,Rosa DeLauro
Benjamin Cardin,Debbie Wasserman Schultz
Benjamin Cardin,Lisa Murkowski
Benjamin Cardin,Thom Tillis
Benjamin Cardin,Diana DeGette
Benjamin Cardin,Jerrold Nadler
Benjamin Cardin,Linda Sánchez
Benjamin Cardin,Janice Schakowsky
Benjamin Cardin,Richard Burr
Benjamin Cardin,Robert Portman
Benjamin Cardin,Marcia Fudge
Benjamin Cardin,Catherine Cortez Masto
Benjamin Cardin,Jamie Raskin
Benjamin Cardin,Brad Sherman
Benjamin Cardin,David Perdue
Benjamin Cardin,Martin Heinrich
Benjamin Cardin,John Isakson
Benjamin Cardin,Earl Blumenauer
Benjamin Cardin,Adam Schiff
Benjamin Cardin,Margaret Hassan
Benjamin Cardin,Anthony Brown
Benjamin Cardin,Kamala Harris
Benjamin Cardin,Dianne Feinstein
Benjamin Cardin,Cory Booker
Benjamin Cardin,Heidi Heitkamp
Benjamin Cardin,Tammy Duckworth
Benjamin Cardin,John Boozman
Benjamin Cardin,John Barrasso
Benjamin Cardin,Judy Chu
Benjamin Cardin,Bill Nelson
Benjamin Cardin,Michael Bennet
Benjamin Cardin,Susan Collins
Benjamin Cardin,Daniel Kildee
Benjamin Cardin,Timothy Kaine
Benjamin Cardin,Gerald Connolly
Benjamin Cardin,Jeanne Shaheen
Benjamin Cardin,Tom Udall
Benjamin Cardin,Tammy Baldwin
Benjamin Cardin,Joe Donnelly
Benjamin Cardin,John Reed
Benjamin Cardin,Mazie Hirono
Benjamin Cardin,Brian Schatz
Benjamin Cardin,Jeff Merkley
Benjamin Cardin,John Yarmuth
Benjamin Cardin,Jon Tester
Benjamin Cardin,Bonnie Watson Coleman
Benjamin Cardin,Joe Manchin
Benjamin Cardin,Robert Casey
Benjamin Cardin,Donald Beyer
Benjamin Cardin,Andy Harris
Benjamin Cardin,Debbie Stabenow
Benjamin Cardin,Bob Corker
Benjamin Cardin,Bill Pascrell
Benjamin Cardin,Amy Klobuchar
Benjamin Cardin,Maria Cantwell
Benjamin Cardin,Gary Peters
Benjamin Cardin,Edward Markey
Benjamin Cardin,Mark Warner
Benjamin Cardin,Robert Scott
Benjamin Cardin,Keith Ellison
Benjamin Cardin,Eleanor Norton
Benjamin Cardin,George Butterfield
Benjamin Cardin,Richard Blumenthal
Benjamin Cardin,Nancy Pelosi
Benjamin Cardin,Christopher Murphy
Benjamin Cardin,Richard Durbin
Benjamin Cardin,Kirsten Gillibrand
Benjamin Cardin,Robert Menéndez
Benjamin Cardin,Sherrod Brown
Benjamin Cardin,Sheldon Whitehouse
Benjamin Cardin,Thomas Carper
Benjamin Cardin,Ron Wyden
Benjamin Cardin,Angus King
Benjamin Cardin,Patty Murray
Benjamin Cardin,John McCain
Benjamin Cardin,Bernard Sanders
Benjamin Cardin,John Delaney
Benjamin Cardin,Elijah Cummings
Benjamin Cardin,Charles Schumer
Benjamin Cardin,John Sarbanes
Benjamin Cardin,Chris Van Hollen
Benjamin Cardin,C. Ruppersberger
Benjamin Cardin,Patrick Leahy
Benjamin Cardin,Steny Hoyer
Thomas Carper,Nancy Pelosi
Thomas Carper,Doug Jones
Thomas Carper,Tina Smith
Thomas Carper,Bob Corker
Thomas Carper,Eleanor Norton
Thomas Carper,Kamala Harris
Thomas Carper,Cory Booker
Thomas Carper,Joni Ernst
Thomas Carper,Dan Sullivan
Thomas Carper,David Perdue
Thomas Carper,John Isakson
Thomas Carper,Chris Van Hollen
Thomas Carper,Tammy Duckworth
Thomas Carper,Lisa Blunt Rochester
Thomas Carper,Margaret Hassan
Thomas Carper,Catherine Cortez Masto
Thomas Carper,Mike Rounds
Thomas Carper,Thom Tillis
Thomas Carper,Michael Enzi
Thomas Carper,Michael Crapo
Thomas Carper,Frank Pallone
Thomas Carper,John Boozman
Thomas Carper,Shelley Capito
Thomas Carper,Lamar Alexander
Thomas Carper,Lisa Murkowski
Thomas Carper,Robert Portman
Thomas Carper,John McCain
Thomas Carper,Donald Norcross
Thomas Carper,Deb Fischer
Thomas Carper,Dean Heller
Thomas Carper,Tim Scott
Thomas Carper,John Thune
Thomas Carper,Norma Torres
Thomas Carper,John Barrasso
Thomas Carper,Roy Blunt
Thomas Carper,Jerry Moran
Thomas Carper,Adam Schiff
Thomas Carper,Roger Wicker
Thomas Carper,Earl Blumenauer
Thomas Carper,Richard Burr
Thomas Carper,Brian Schatz
Thomas Carper,Martin Heinrich
Thomas Carper,Tammy Baldwin
Thomas Carper,Angus King
Thomas Carper,Jon Tester
Thomas Carper,Joe Donnelly
Thomas Carper,Timothy Kaine
Thomas Carper,Christopher Murphy
Thomas Carper,Mazie Hirono
Thomas Carper,Edward Markey
Thomas Carper,Heidi Heitkamp
Thomas Carper,Gary Peters
Thomas Carper,James Lankford
Thomas Carper,Elizabeth Warren
Thomas Carper,Chris Coons
Thomas Carper,Ron Johnson
Thomas Carper,John Reed
Thomas Carper,Pat Roberts
Thomas Carper,Thad Cochran
Thomas Carper,Amy Klobuchar
Thomas Carper,Patty Murray
Thomas Carper,Dianne Feinstein
Thomas Carper,Maria Cantwell
Thomas Carper,Bernard Sanders
Thomas Carper,Richard Blumenthal
Thomas Carper,Patrick Toomey
Thomas Carper,Jeanne Shaheen
Thomas Carper,Patrick Leahy
Thomas Carper,Richard Durbin
Thomas Carper,Claire McCaskill
Thomas Carper,Sherrod Brown
Thomas Carper,Joe Manchin
Thomas Carper,Bill Nelson
Thomas Carper,Jeff Merkley
Thomas Carper,Debbie Stabenow
Thomas Carper,Robert Casey
Thomas Carper,Robert Menéndez
Thomas Carper,Kirsten Gillibrand
Thomas Carper,Ron Wyden
Thomas Carper,Benjamin Cardin
Thomas Carper,Susan Collins
Thomas Carper,Sheldon Whitehouse
Thomas Carper,Mark Warner
Thomas Carper,Michael Bennet
Thomas Carper,Tom Udall
Thomas Carper,Charles Schumer
Robert Casey,Elijah Cummings
Robert Casey,Dwight Evans
Robert Casey,Marco Rubio
Robert Casey,Chris Van Hollen
Robert Casey,Todd Young
Robert Casey,Margaret Hassan
Robert Casey,John Kennedy
Robert Casey,Catherine Cortez Masto
Robert Casey,Tammy Duckworth
Robert Casey,Cory Booker
Robert Casey,Keith Rothfus
Robert Casey,Mike Kelly
Robert Casey,Matthew Cartwright
Robert Casey,Ryan Costello
Robert Casey,Charles Grassley
Robert Casey,Steve Daines
Robert Casey,Lindsey Graham
Robert Casey,Jeff Flake
Robert Casey,Lisa Murkowski
Robert Casey,Jerry Moran
Robert Casey,Robert Portman
Robert Casey,Roy Blunt
Robert Casey,Edward Markey
Robert Casey,Bill Cassidy
Robert Casey,Mike Lee
Robert Casey,Christopher Murphy
Robert Casey,Timothy Kaine
Robert Casey,Shelley Capito
Robert Casey,James Lankford
Robert Casey,Cory Gardner
Robert Casey,Gary Peters
Robert Casey,Mitch McConnell
Robert Casey,John Hoeven
Robert Casey,John Reed
Robert Casey,Jon Tester
Robert Casey,Tom Cotton
Robert Casey,Heidi Heitkamp
Robert Casey,Martin Heinrich
Robert Casey,Brian Schatz
Robert Casey,Joni Ernst
Robert Casey,David Perdue
Robert Casey,Dan Sullivan
Robert Casey,Mike Rounds
Robert Casey,Benjamin Sasse
Robert Casey,Thom Tillis
Robert Casey,John Cornyn
Robert Casey,Richard Shelby
Robert Casey,Michael Enzi
Robert Casey,Lamar Alexander
Robert Casey,Ron Johnson
Robert Casey,John Boozman
Robert Casey,Pat Roberts
Robert Casey,Thad Cochran
Robert Casey,Roger Wicker
