"","MEMBER","PARTY","PVI","2016 D%","2016 R%","CLINTON %","TRUMP %"
"Michigan-09","Sander Levin","D","D+4","57.9%","37.4%","51.4%","43.7%"
"Michigan-10","Paul Mitchell","R","R+13","32.3%","63.1%","31.6%","63.8%"
"Michigan-11","OPEN (Trott)","R","R+4","40.2%","52.9%","45.0%","49.4%"
"Michigan-12","Debbie Dingell","D","D+14","64.3%","29.3%","60.6%","34.3%"
"Michigan-13","John Conyers","D","D+32","77.1%","15.7%","78.8%","18.1%"
"Michigan-14","Brenda Lawrence","D","D+30","78.5%","18.7%","79.1%","18.2%"
"Minnesota-01","Open (Waltz)","D","R+5","50.3%","49.6%","38.1%","52.8%"
"Minnesota-02","Jason Lewis","R","R+2","45.2%","47.0%","44.9%","46.1%"
"Minnesota-03","Erik Paulsen","R","D+1","43.0%","56.7%","50.2%","40.9%"
"Minnesota-04","Betty McCollum","D","D+14","57.8%","34.4%","60.9%","30.2%"
"Minnesota-05","Keith Ellison","D","D+26","69.1%","22.3%","73.0%","18.3%"
"Minnesota-06","Tom Emmer","R","R+12","34.3%","65.6%","33.0%","58.4%"
"Minnesota-07","Collin Peterson","D","R+12","52.5%","47.4%","30.8%","61.4%"
"Minnesota-08","Rick Nolan","D","R+4","50.2%","49.6%","38.3%","53.8%"
"Mississippi-01","Trent Kelly","R","R+16","27.9%","68.7%","32.4%","65.4%"
"Mississippi-02","Bennie Thompson","D","D+14","67.1%","29.1%","63.6%","35.1%"
"Mississippi-03","Gregg Harper","R","R+13","30.4%","66.2%","36.8%","61.3%"
"Mississippi-04","Steven Palazzo","R","R+21","27.8%","65.0%","28.2%","69.4%"
"Missouri-01","Lacy Clay","D","D+29","75.5%","20.0%","76.8%","18.8%"
"Missouri-02","Ann Wagner","R","R+8","37.7%","58.5%","42.1%","52.5%"
"Missouri-03","Blaine Luetkemeyer","R","R+18","27.9%","67.8%","28.0%","67.0%"
"Missouri-04","Vicky Hartzler","R","R+17","27.8%","67.8%","29.3%","65.1%"
"Missouri-05","Emanuel Cleaver","D","D+7","58.8%","38.2%","54.6%","39.8%"
"Missouri-06","Sam Graves","R","R+16","28.4%","68.0%","31.1%","63.4%"
"Missouri-07","Billy Long","R","R+23","27.4%","67.5%","24.6%","70.1%"
"Missouri-08","Jason Smith","R","R+24","22.7%","74.4%","21.1%","75.3%"
"Montana-AL","Greg Gianforte","R","R+11","40.5%","56.2%","35.7%","56.2%"
"Nebraska-01","Jeff Fortenberry","R","R+11","30.5%","69.5%","35.5%","56.2%"
"Nebraska-02","Don Bacon","R","R+4","47.7%","48.9%","44.9%","47.2%"
"Nebraska-03","Adrian Smith","R","R+27","0.0%","100.0%","19.7%","73.9%"
"Nevada-01","Dina Titus","D","D+15","61.9%","28.8%","61.6%","32.6%"
"Nevada-02","Mark Amodei","R","R+7","36.9%","58.3%","39.7%","52.0%"
"Nevada-03","OPEN (Rosen)","D","R+2","47.2%","46.0%","46.5%","47.5%"
"Nevada-04","Ruben Kihuen","D","D+3","48.5%","44.5%","49.5%","44.6%"
"New Hampshire-01","Carol Shea-Porter","D","R+2","45.8%","44.4%","45.9%","47.5%"
"New Hampshire-02","Annie Kuster","D","D+2","49.8%","45.4%","47.8%","45.4%"
"New Jersey-01","Donald Norcross","D","D+13","60.0%","36.8%","60.6%","36.1%"
"New Jersey-02","Frank LoBiondo","R","R+1","37.2%","59.2%","46.0%","50.6%"
"New Jersey-03","Tom MacArthur","R","R+2","38.9%","59.3%","45.2%","51.4%"
"New Jersey-04","Chris Smith","R","R+8","33.5%","63.7%","41.0%","55.8%"
"New Jersey-05","Josh Gottheimer","D","R+3","51.1%","46.7%","47.7%","48.8%"
"New Jersey-06","Frank Pallone","D","D+9","63.7%","34.9%","56.2%","40.6%"
"New Jersey-07","Leonard Lance","R","R+3","43.1%","54.1%","48.6%","47.5%"
"New Jersey-08","Albio Sires","D","D+27","77.0%","18.5%","75.7%","21.5%"
"New Jersey-09","Bill Pascrell","D","D+16","69.7%","28.0%","64.3%","33.1%"
"New Jersey-10","Donald Payne Jr.","D","D+36","85.7%","11.9%","85.2%","12.8%"
"New Jersey-11","Rodney Frelinghuysen","R","R+3","38.9%","58.0%","47.9%","48.8%"
"New Jersey-12","Bonnie Watson Coleman","D","D+16","62.9%","32.0%","65.0%","31.8%"
"New Mexico-01","OPEN (Lujan Grisham)","D","D+7","65.1%","34.9%","51.6%","35.1%"
"New Mexico-02","OPEN (Pearce)","R","R+6","37.2%","62.7%","39.9%","50.1%"
"New Mexico-03","Ben R. Lujan","D","D+8","62.4%","37.6%","51.8%","36.7%"
"New York-01","Lee Zeldin","R","R+5","41.0%","58.9%","41.8%","54.0%"
"New York-02","Peter King","R","R+3","37.5%","62.4%","43.7%","52.6%"
"New York-03","Tom Suozzi","D","D+1","52.8%","47.2%","51.2%","45.1%"
"New York-04","Kathleen Rice","D","D+4","59.5%","40.4%","53.0%","43.4%"
"New York-05","Gregory Meeks","D","D+37","85.4%","13.0%","85.4%","12.6%"
"New York-06","Grace Meng","D","D+16","72.1%","26.7%","64.7%","31.9%"
"New York-07","Nydia Velazquez","D","D+38","90.7%","9.2%","86.4%","10.3%"
"New York-08","Hakeem Jeffries","D","D+36","93.2%","0.0%","84.2%","13.4%"
"New York-09","Yvette Clarke","D","D+34","92.3%","0.0%","82.9%","14.3%"
"New York-10","Jerrold Nadler","D","D+26","78.0%","21.9%","77.5%","18.6%"
"New York-11","Daniel Donovan","R","R+3","36.7%","61.5%","43.5%","53.3%"
"New York-12","Carolyn Maloney","D","D+31","83.1%","16.8%","82.4%","13.3%"
"New York-13","Adriano Espaillat","D","D+43","88.6%","6.9%","91.8%","5.4%"
"New York-14","Joe Crowley","D","D+29","82.8%","17.1%","77.3%","19.7%"
"New York-15","Jose E. Serrano","D","D+44","95.2%","3.5%","93.5%","4.9%"
"New York-16","Eliot Engel","D","D+24","94.4%","0.0%","74.5%","22.3%"
"New York-17","Nita Lowey","D","D+7","99.1%","0.0%","58.0%","38.1%"
"New York-18","Sean Patrick Maloney","D","R+1","55.6%","44.4%","46.6%","48.7%"
"New York-19","John Faso","R","R+2","45.7%","54.2%","43.5%","50.2%"
"New York-20","Paul Tonko","D","D+7","67.9%","32.1%","53.3%","40.0%"
"New York-21","Elise Stefanik","R","R+4","30.1%","65.3%","39.4%","53.1%"
"New York-22","Claudia Tenney","R","R+6","41.0%","46.5%","38.9%","54.2%"
"New York-23","Tom Reed","R","R+6","42.4%","57.6%","39.2%","53.9%"
"New York-24","John Katko","R","D+3","39.4%","60.5%","48.6%","45.0%"
"New York-25","Louise M. Slaughter","D","D+8","56.1%","43.8%","54.9%","38.7%"
"New York-26","Brian Higgins","D","D+11","74.6%","25.4%","57.5%","37.9%"
"New York-27","Chris Collins","R","R+11","32.8%","67.2%","35.0%","59.3%"
"North Carolina-01","G.K. Butterfield","D","D+17","68.6%","29.0%","65.9%","31.1%"
