"","MEMBER","PARTY","PVI","2016 D%","2016 R%","CLINTON %","TRUMP %"
"Alabama-01","Bradley Byrne","R","R+15","0.0%","96.4%","33.8%","63.0%"
"Alabama-02","Martha Roby","R","R+16","40.5%","48.8%","32.8%","64.5%"
"Alabama-03","Mike Rogers","R","R+16","32.9%","66.9%","31.9%","64.8%"
"Alabama-04","Robert Aderholt","R","R+30","0.0%","98.5%","17.3%","79.8%"
"Alabama-05","Mo Brooks","R","R+18","33.2%","66.7%","30.9%","63.7%"
"Alabama-06","Gary Palmer","R","R+26","25.4%","74.5%","25.8%","69.6%"
"Alabama-07","Terri Sewell","D","D+20","98.4%","0.0%","69.5%","28.3%"
"Alaska-AL","Don Young","R","R+9","36.0%","50.3%","36.6%","51.3%"
"Arizona-01","Tom O'Halleran","D","R+2","50.7%","43.4%","46.0%","47.0%"
"Arizona-02","Martha McSally","R","R+1","43.0%","57.0%","48.7%","43.9%"
"Arizona-03","Raul Grijalva","D","D+13","88.1%","0.0%","61.6%","32.1%"
"Arizona-04","Paul Gosar","R","R+21","28.5%","71.5%","27.0%","66.4%"
"Arizona-05","Andy Biggs","R","R+15","35.9%","64.1%","35.5%","56.1%"
"Arizona-06","David Schweikert","R","R+9","37.9%","62.1%","41.7%","51.6%"
"Arizona-07","Ruben Gallego","D","D+23","75.2%","24.7%","70.6%","22.3%"
"Arizona-08","Trent Franks","R","R+13","0.0%","68.5%","36.4%","57.1%"
"Arizona-09","Kyrsten Sinema","D","D+4","60.9%","39.0%","53.5%","37.6%"
"Arkansas-01","Rick Crawford","R","R+17","0.0%","76.3%","30.2%","65.0%"
"Arkansas-02","French Hill","R","R+7","36.8%","58.3%","41.7%","52.4%"
"Arkansas-03","Steve Womack","R","R+19","0.0%","77.3%","30.5%","61.9%"
"Arkansas-04","Bruce Westerman","R","R+17","0.0%","74.9%","31.3%","64.2%"
"California-01","Doug La Malfa","R","R+11","40.9%","59.1%","36.0%","55.4%"
"California-02","Jared Huffman","D","D+22","76.9%","23.1%","68.3%","23.1%"
"California-03","John Garamendi","D","D+5","59.4%","40.6%","52.6%","40.1%"
"California-04","Tom McClintock","R","R+10","37.3%","62.7%","38.5%","53.0%"
"California-05","Mike Thompson","D","D+21","76.9%","23.1%","68.8%","24.2%"
"California-06","Doris Matsui","D","D+21","75.4%","24.6%","68.0%","24.0%"
"California-07","Ami Bera","D","D+3","51.2%","48.8%","51.4%","40.1%"
"California-08","Paul Cook","R","R+9","37.7%","62.3%","39.6%","54.7%"
"California-09","Jerry McNerney","D","D+8","57.4%","42.6%","55.3%","37.2%"
"California-10","Jeff Denham","R","EVEN","48.3%","51.7%","47.9%","44.9%"
"California-11","Mark DeSaulnier","D","D+21","72.1%","27.9%","69.7%","22.1%"
"California-12","Nancy Pelosi","D","D+37","80.9%","0.0%","85.2%","8.6%"
"California-13","Barbara Lee","D","D+40","90.8%","9.2%","86.0%","6.7%"
"California-14","Jackie Speier","D","D+27","80.9%","19.1%","76.8%","18.2%"
"California-15","Eric Swalwell","D","D+20","73.8%","26.2%","68.6%","23.7%"
"California-16","Jim Costa","D","D+9","58.0%","42.0%","57.2%","35.9%"
"California-17","Ro Khanna","D","D+25","100.0%","0.0%","73.6%","20.4%"
"California-18","Anna Eshoo","D","D+23","71.1%","28.9%","73.4%","20.2%"
"California-19","Zoe Lofgren","D","D+24","73.9%","26.1%","72.9%","21.5%"
"California-20","Jimmy Panetta","D","D+23","70.8%","29.2%","69.9%","23.1%"
"California-21","David Valadao","R","D+5","43.3%","56.7%","54.7%","39.3%"
"California-22","Devin Nunes","R","R+8","32.4%","67.6%","41.9%","51.3%"
"California-23","Kevin McCarthy","R","R+14","30.8%","69.2%","35.8%","57.7%"
"California-24","Salud Carbajal","D","D+7","53.4%","46.6%","55.9%","36.0%"
"California-25","Steve Knight","R","EVEN","46.9%","53.1%","50.1%","43.4%"
"California-26","Julia Brownley","D","D+7","60.4%","39.6%","56.6%","35.2%"
"California-27","Judy Chu","D","D+16","67.4%","32.6%","66.0%","28.4%"
"California-28","Adam Schiff","D","D+23","78.0%","22.0%","72.1%","22.3%"
"California-29","Tony Cardenas","D","D+29","100.0%","0.0%","77.7%","16.8%"
"California-30","Brad Sherman","D","D+18","72.6%","27.4%","69.1%","25.7%"
"California-31","Pete Aguilar","D","D+8","56.1%","43.9%","57.7%","36.6%"
"California-32","Grace Napolitano","D","D+17","100.0%","0.0%","66.6%","27.7%"
"California-33","Ted Lieu","D","D+16","66.4%","33.6%","67.8%","26.5%"
"California-34","Xavier Becerra","D","D+35","100.0%","0.0%","83.6%","10.7%"
"California-35","Norma Torres","D","D+19","72.4%","27.6%","67.7%","26.9%"
"California-36","Raul Ruiz","D","D+2","62.1%","37.9%","52.2%","43.4%"
"California-37","Karen Bass","D","D+37","100.0%","0.0%","85.7%","9.6%"
"California-38","Linda Sanchez","D","D+17","70.5%","29.5%","67.0%","27.4%"
"California-39","Ed Royce","R","EVEN","42.8%","57.2%","51.1%","42.6%"
"California-40","Lucille Roybal-Allard","D","D+33","71.4%","0.0%","82.2%","12.8%"
"California-41","Mark Takano","D","D+12","65.0%","35.0%","61.0%","33.1%"
"California-42","Ken Calvert","R","R+9","41.2%","58.8%","41.4%","53.4%"
"California-43","Maxine Waters","D","D+29","76.1%","23.9%","78.4%","16.7%"
"California-44","Nanette Barragan","D","D+35","100.0%","0.0%","83.0%","12.3%"
"California-45","Mimi Walters","R","R+3","41.4%","58.6%","49.4%","44.0%"
"California-46","Lou Correa","D","D+15","100.0%","0.0%","65.6%","27.6%"
"California-47","Alan Lowenthal","D","D+13","63.7%","36.3%","62.4%","30.9%"
"California-48","Dana Rohrabacher","R","R+4","41.7%","58.3%","47.5%","45.8%"
"California-49","Darrell Issa","R","R+1","49.7%","50.3%","50.5%","43.1%"
"California-50","Duncan D. Hunter","R","R+11","36.5%","63.5%","39.6%","54.6%"
"California-51","Juan Vargas","D","D+22","72.8%","27.2%","71.7%","22.7%"
"California-52","Scott Peters","D","D+6","56.5%","43.5%","58.1%","35.6%"
"California-53","Susan Davis","D","D+14","67.0%","33.0%","64.5%","29.6%"
"Colorado-01","Diana DeGette","D","D+21","67.9%","27.7%","69.1%","23.3%"
"Colorado-02","OPEN (Polis)","D","D+9","56.9%","37.2%","56.3%","35.0%"
"Colorado-03","Scott Tipton","R","R+6","40.3%","54.6%","40.0%","52.0%"
"Colorado-04","Ken Buck","R","R+13","31.7%","63.5%","34.3%","57.4%"
"Colorado-05","Doug Lamborn","R","R+14","30.9%","62.3%","33.2%","57.2%"
"Colorado-06","Mike Coffman","R","D+2","42.6%","50.9%","50.2%","41.3%"
"Colorado-07","Ed Perlmutter","D","D+6","55.2%","39.8%","51.8%","39.7%"
"Connecticut-01","John Larson","D","D+12","64.1%","33.8%","59.3%","36.3%"
"Connecticut-02","Joe Courtney","D","D+3","63.2%","33.7%","48.6%","45.7%"
"Connecticut-03","Rosa DeLauro","D","D+9","69.0%","31.0%","55.8%","40.3%"
"Connecticut-04","Jim Himes","D","D+7","59.9%","40.1%","59.5%","36.5%"
"Connecticut-05","Elizabeth Etsy","D","D+2","58.0%","42.0%","49.9%","45.8%"
"Delaware-AL","Lisa Blunt Rochester","D","D+6","55.5%","41.0%","53.2%","41.8%"
"Florida-01","Matt Gaetz","R","R+22","30.9%","69.1%","28.2%","67.5%"
"Florida-02","Neal Dunn","R","R+18","29.9%","67.3%","30.6%","66.2%"
"Florida-03","Ted Yoho","R","R+9","39.8%","56.6%","40.2%","56.2%"
"Florida-04","John Rutherford","R","R+17","27.6%","70.2%","34.1%","62.1%"
"Florida-05","Al Lawson","D","D+12","64.2%","35.8%","61.3%","35.9%"
"Florida-06","Ron DeSantis","R","R+7","41.4%","58.6%","39.9%","56.9%"
"Florida-07","Stephanie Murphy","D","EVEN","51.5%","48.5%","51.4%","44.1%"
"Florida-08","Bill Posey","R","R+11","32.5%","63.1%","37.7%","58.4%"
"Florida-09","Darren Soto","D","D+5","57.5%","42.5%","54.8%","41.9%"
"Florida-10","Val Demings","D","D+11","64.9%","35.1%","61.8%","34.9%"
"Florida-11","Dan Webster","R","R+15","31.6%","65.4%","32.5%","64.8%"
"Florida-12","Gus Bilirakis","R","R+8","31.4%","68.6%","38.8%","57.4%"
"Florida-13","Charlie Crist","D","D+2","51.9%","48.1%","49.6%","46.4%"
"Florida-14","Kathy Castor","D","D+7","61.8%","38.2%","57.2%","39.0%"
"Florida-15","Dennis Ross","R","R+6","42.5%","57.5%","43.1%","53.1%"
"Florida-16","Vern Buchanan","R","R+7","40.2%","59.8%","43.0%","53.7%"
"Florida-17","Tom Rooney","R","R+13","34.2%","61.8%","35.0%","62.2%"
"Florida-18","Brian Mast","R","R+5","43.1%","53.6%","44.1%","53.3%"
"Florida-19","Francis Rooney","R","R+13","34.1%","65.9%","37.5%","59.6%"
"Florida-20","Alcee Hastings","D","D+31","80.3%","19.7%","80.2%","18.1%"
"Florida-21","Lois Frankel","D","D+9","62.7%","35.1%","58.6%","39.1%"
"Florida-22","Ted Deutch","D","D+6","58.9%","41.1%","56.8%","41.0%"
"Florida-23","Debbie Wasserman Schultz","D","D+11","56.7%","40.5%","61.9%","35.8%"
"Florida-24","Frederica Wilson","D","D+34","100.0%","0.0%","82.7%","15.5%"
"Florida-25","Mario Diaz-Balart","R","R+4","37.6%","62.4%","47.9%","49.7%"
"Florida-26","Carlos Curbelo","R","D+6","41.2%","53.0%","56.8%","40.5%"
"Florida-27","OPEN (Ros-Lehtinen)","R","D+5","45.1%","54.9%","58.6%","38.9%"
"Georgia-01","Buddy Carter","R","R+9","0.0%","100.0%","40.9%","56.4%"
"Georgia-02","Sanford Bishop","D","D+6","61.2%","38.8%","55.0%","43.3%"
"Georgia-03","Drew Ferguson","R","R+18","31.7%","68.3%","32.8%","64.3%"
"Georgia-04","Hank Johnson","D","D+24","75.7%","24.3%","75.3%","22.2%"
"Georgia-05","John Lewis","D","D+34","84.4%","15.6%","85.0%","11.9%"
"Georgia-06","Karen Handel","R","R+8","38.3%","61.7%","46.8%","48.3%"
"Georgia-07","Rob Woodall","R","R+9","39.6%","60.4%","44.8%","51.1%"
"Georgia-08","Austin Scott","R","R+15","32.4%","67.6%","34.4%","63.3%"
"Georgia-09","Doug Collins","R","R+31","0.0%","100.0%","19.3%","77.8%"
"Georgia-10","Jody Hice","R","R+15","0.0%","100.0%","35.8%","61.3%"
"Georgia-11","Barry Loudermilk","R","R+17","32.6%","67.4%","35.3%","60.3%"
"Georgia-12","Rick Allen","R","R+9","38.4%","61.6%","40.7%","56.9%"
"Georgia-13","David Scott","D","D+20","100.0%","0.0%","71.0%","26.6%"
"Georgia-14","Tom Graves","R","R+27","0.0%","100.0%","22.1%","75.0%"
"Hawaii-01","OPEN (Hanabusa)","D","D+17","71.9%","22.7%","63.1%","30.5%"
"Hawaii-02","Tulsi Gabbard","D","D+19","81.2%","18.8%","61.4%","29.6%"
"Idaho-01","OPEN (Labrador)","R","R+21","31.8%","68.2%","25.4%","63.7%"
"Idaho-02","Mike Simpson","R","R+17","29.4%","62.9%","29.8%","54.5%"
"Illinois-01","Bobby Rush","D","D+27","74.1%","25.9%","74.7%","21.5%"
"Illinois-02","Robin Kelly","D","D+29","79.8%","20.2%","77.6%","19.0%"
